Language,Language (local),Wiki,Articles,Total,Edits,Admins,Users,Active users,Images,Depth
Malagasy,Malagasy,mg,"91,800","235,358","971,206",3,"20,535",41,3,10.09
Tatar,татарча/tatarça,tt,"86,190","205,843","2,381,380",3,"30,687",103,"4,503",22.3
Occitan,occitan,oc,"85,821","144,024","2,117,226",5,"38,451",85,900,6.76
Afrikaans,Afrikaans,af,"82,777","250,817","2,011,209",13,"112,525",188,"8,960",33.05
Bosnian,bosanski,bs,"80,287","370,804","2,993,474",9,"116,050",180,"24,243",105.7
Kirghiz,Кыргызча,ky,"79,421","104,971","350,088",4,"23,095",48,"2,679",0.35
Albanian,shqip,sq,"77,376","222,276","1,976,778",13,"115,205",240,"11,390",31.19
Tagalog,Tagalog,tl,"75,511","231,755","1,702,578",12,"100,614",130,"1,908",31.45
Cantonese,粵語,zh-yue,"73,561","187,846","1,309,856",11,"178,995",255,"1,656",16.83
Newar,नेपाल भाषा,new,"72,232","196,427","845,020",2,"20,434",15,0,12.72
Telugu,తెలుగు,te,"70,926","254,814","2,681,689",15,"86,733",163,"12,466",70.74
Bengali,বাংলা,bn,"70,112","674,344","3,546,330",11,"234,752","1,528","6,155",390.59
Belarusian (Taraškievica),беларуская (тарашкевіца)‎,be-tarask,"67,559","186,868","2,069,555",4,"60,142",106,"1,454",34.54
Breton,brezhoneg,br,"66,990","130,902","1,836,597",5,"54,723",98,"5,401",12.77
Piedmontese,Piemontèis,pms,"64,490","98,966","842,626",10,"20,512",30,"2,078",2.43
Malayalam,മലയാളം,ml,"64,210","399,766","3,101,681",21,"124,988",295,"5,990",211.89
Luxembourgish,Lëtzebuergesch,lb,"56,813","122,354","2,186,705",5,"43,994",109,"2,585",23.78
Javanese,Jawa,jv,"56,342","151,696","1,487,156",8,"40,254",71,"5,446",28.08
Haitian,Kreyòl ayisyen,ht,"56,258","68,912","729,554",2,"21,403",26,0,0.54
Scots,Scots,sco,"54,349","197,573","705,531",5,"59,919",116,"1,554",24.8
Marathi,मराठी,mr,"53,827","223,420","1,687,472",9,"107,854",197,"19,186",74.98
Swahili,Kiswahili,sw,"51,962","109,037","1,067,984",11,"37,116",89,"2,217",11.82
Low Saxon,Plattdüütsch,nds,"51,902","110,375","874,064",4,"36,305",56,0,10.05
Irish,Gaeilge,ga,"51,229","83,402","932,342",8,"39,432",83,"1,169",4.41
Sundanese,Basa Sunda,su,"50,071","82,674","575,560",7,"22,190",39,544,2.95
Bashkir,башҡортса,ba,"49,256","139,901","897,520",8,"25,337",71,"1,350",21.73
Western Punjabi,پنجابی,pnb,"47,950","76,299","529,361",3,"23,478",32,238,2.43
Icelandic,íslenska,is,"47,772","127,092","1,637,573",28,"68,287",112,"3,046",35.52
Burmese,မြန်မာဘာသာ,my,"44,508","100,761","465,183",5,"60,225",122,"2,827",7.37
West Frisian,Frysk,fy,"42,412","128,504","967,089",9,"33,916",64,"6,866",31.01
Chuvash,Чӑвашла,cv,"42,014","74,548","656,265",3,"24,755",40,536,5.28
Lombard,lumbaart,lmo,"38,680","100,201","986,734",7,"26,342",43,"4,437",24.91
Aragonese,aragonés,an,"35,503","110,470","1,633,977",6,"52,985",70,"1,263",65.95
Nepali,नेपाली,ne,"32,233","91,030","734,812",8,"42,903",83,824,26.86
Yoruba,Yorùbá,yo,"31,888","54,866","519,249",3,"18,927",25,172,4.91
Eastern Punjabi,ਪੰਜਾਬੀ,pa,"31,496","109,901","481,046",7,"28,846",93,"1,383",27.12
Gujarati,ગુજરાતી,gu,"28,531","91,967","665,696",4,"50,180",85,0,35.78
Ido,Ido,io,"28,517","42,798","946,519",5,"26,796",44,1,5.55
Bavarian,Boarisch,bar,"28,428","104,642","716,887",6,"47,339",69,"1,338",49.24
Kurdish (Kurmanji),kurdî,ku,"26,123","63,592","731,491",4,"38,158",58,580,23.66
Sicilian,sicilianu,scn,"26,055","55,219","725,565",8,"32,718",31,"1,408",16.46
Alemannic,Alemannisch,als,"26,028","60,708","912,465",9,"70,983",75,487,26.68
Bishnupriya Manipuri,বিষ্ণুপ্রিয়া মণিপুরী,bpy,"25,086","58,330","781,640",2,"19,392",27,49,23.53
Kannada,ಕನ್ನಡ,kn,"24,842","105,716","920,738",4,"55,830",479,"3,379",92.31
Kurdish (Sorani),کوردی,ckb,"24,039","128,021","627,109",8,"35,921",68,919,91.65
Interlingua,interlingua,ia,"21,829","34,749","612,429",7,"34,946",30,4,6.17
Quechua,Runa Simi,qu,"21,390","53,274","636,796",3,"21,729",30,0,26.56
Wu,吴语,wuu,"20,648","32,497","252,772",4,"60,255",37,238,2.56
Egyptian Arabic,مصرى,arz,"20,562","177,460","872,755",6,"113,122",131,"1,457",286.35
Mongolian,монгол,mn,"18,703","72,812","583,613",5,"59,305",97,"1,448",67.09
Samogitian,žemaitėška,bat-smg,"16,751","28,187","347,434",5,"19,848",27,109,5.75
Sinhalese,සිංහල,si,"15,218","70,328","437,973",3,"41,235",71,"4,552",81.67
Walloon,walon,wa,"15,039","39,049","347,564",2,"17,226",27,"2,137",22.69
Odia,ଓଡ଼ିଆ,or,"15,022","64,164","370,952",6,"21,811",58,126,61.87
Scottish Gaelic,Gàidhlig,gd,"14,828","30,796","549,155",4,"20,642",30,347,20.68
Yiddish,ייִדיש,yi,"14,777","41,059","543,053",3,"34,426",53,"1,062",41.84
Amharic,አማርኛ,am,"14,774","45,159","354,512",3,"29,318",32,"1,697",33.21
Min Dong,Mìng-dĕ̤ng-ngṳ̄,cdo,"14,628","28,602","78,045",4,"14,838",14,4,2.49
Neapolitan,Napulitano,nap,"14,532","23,245","658,082",4,"21,461",24,286,10.18
Buginese,ᨅᨔ ᨕᨘᨁᨗ,bug,"14,128","18,690","192,260",1,"9,862",13,0,1.07
Upper Sorbian,hornjoserbsce,hsb,"13,426","34,238","365,365",4,"18,762",20,138,25.64
Maithili,मैथिली,mai,"13,383","33,252","192,491",6,"7,445",31,97,12.76
Banyumasan,Basa Banyumasan,map-bms,"13,361","28,945","208,155",1,"11,472",12,484,9.78
Faroese,føroyskt,fo,"13,125","38,852","353,959",4,"21,261",31,0,35
Mazandarani,مازِرونی,mzn,"13,095","28,688","148,714",4,"20,375",31,261,7.35
Mingrelian,მარგალური,xmf,"13,066","28,650","138,162",3,"12,552",24,0,6.86
Ilocano,Ilokano,ilo,"12,539","50,295","340,029",2,"13,133",16,0,61.3
Limburgish,Limburgs,li,"12,418","61,245","434,497",6,"20,473",29,624,109.68
Venetian,vèneto,vec,"12,257","36,314","601,986",3,"23,758",34,723,63.86
Emilian-Romagnol,emiliàn e rumagnòl,eml,"12,076","31,801","131,305",3,"16,933",20,"2,170",11.02
Sakha,саха тыла,sah,"12,038","41,574","347,056",4,"17,148",31,"1,766",50.25
Sindhi,سنڌي,sd,"11,785","35,017","148,910",3,"10,552",30,66,16.53
Ossetian,Ирон,os,"11,645","44,602","474,277",3,"18,486",23,179,85.17
Sanskrit,संस्कृतम्,sa,"11,395","58,400","444,744",5,"26,516",110,437,129.59
Zazaki,Zazaki,diq,"10,841","29,206","386,597",5,"18,426",28,215,37.99
Pashto,پښتو,ps,"10,345","38,243","239,445",3,"19,552",47,"1,493",45.53
Hill Mari,кырык мары,mrj,"10,267","16,252","94,905",1,"8,087",8,0,1.98
Meadow Mari,олык марий,mhr,"10,046","24,004","176,553",1,"10,457",20,0,14.2
Fiji Hindi,Fiji Hindi,hif,"9,764","33,601","250,607",2,"22,265",32,193,44.45
Classical Chinese,文言,zh-classical,"9,722","80,060","335,408",6,"78,240",62,0,219.29
Tarantino,tarandíne,roa-tara,"9,246","17,367","135,649",2,"8,822",14,290,6.03
Central Bicolano,Bikol Central,bcl,"9,144","16,440","182,775",2,"14,231",24,880,7.08
North Frisian,Nordfriisk,frr,"9,099","26,033","168,670",5,"12,787",16,968,22.44
Acehnese,Acèh,ace,"9,061","16,234","114,587",1,"18,427",32,0,4.42
Hakka,客家語/Hak-kâ-ngî,hak,"8,972","17,103","114,569",1,"24,555",27,0,5.5
Kapampangan,Kapampangan,pam,"8,629","18,598","281,607",2,"15,928",14,412,20.21
Silesian,ślůnski,szl,"8,429","19,439","235,623",2,"16,147",26,0,20.68
Navajo,Diné bizaad,nv,"8,236","19,510","217,783",4,"11,687",11,540,20.92
Northern Sotho,Sesotho sa Leboa,nso,"8,153","10,039","39,030",1,"4,177",8,0,0.21
